Poales	Oryza sativa	SRR13280199	19115	2153
Zingiberales	Musa acuminata	SRR23425448	13200	1947
Solanales	Solanum lycopersicum	SRR15243717	19045	22225
Asterales	Helianthus annuus	SRR14782853	21757	3081
Lamiales	Sesamum indicum	SRR21601246	17062	24432
Caryophyllales	Beta vulgaris	SRR37382116	17102	1619
Vitales	Vitis vinifera	ERR17353932	6725	1282
Fabales	Glycine max	SRR38619744	13652	11063
Malvales	Gossypium hirsutum	SRR38842326	17358	966
Sapindales	Citrus sinensis	SRR27236983	19863	6245
DONE_RESELECT
