role	species	accession	n_reads_sampled	avg_readlen	Q20pct	Q30pct	AvgQual	GCpct	N50	ngs45_outcome
Illumina_old	Beta_vulgaris	SRR6315553	200000	144.0	95	88	24.29	37.52	144	not_assembled
Illumina_old	Citrus_sinensis	ERR466624	200000	100.0	93	85	14.57	33.53	100	not_assembled
Illumina_old	Glycine_max	SRR1463414	200000	100.0	99	98	31.38	35.89	101	assembled
Illumina_old	Gossypium_hirsutum	SRR1580594	200000	101.0	86	74	11.85	48.38	101	assembled
Illumina_old	Helianthus_annuus	SRR5160794	200000	91.2	86	77	11.74	41.13	94	not_assembled
Illumina_old	Musa_acuminata	SRR6489399	200000	308.9	95	87	23.02	39.41	310	not_assembled
Illumina_old	Oryza_sativa	ERR009651	200000	73.0	89	62	13.76	43.27	73	not_assembled
Illumina_old	Sesamum_indicum	ERR710504	200000	96.0	69	60	7.64	38.70	96	assembled
Illumina_old	Solanum_lycopersicum	SRR1572286	200000	100.0	99	97	26.03	36.95	100	assembled
Illumina_old	Vitis_vinifera	SRR4210153	200000	125.0	95	91	25.93	38.76	125	not_assembled
Illumina_modern	Beta_vulgaris	SRR29552944	200000	150.0	97	92	25.23	36.02	150	assembled
Illumina_modern	Citrus_sinensis	SRR33854505	200000	151.0	96	90	24.24	41.47	151	assembled
Illumina_modern	Glycine_max	SRR11929797	200000	149.7	98	93	26.78	35.65	150	assembled
Illumina_modern	Helianthus_annuus	SRR8888860	200000	150.0	96	90	24.77	35.42	150	assembled
Illumina_modern	Musa_acuminata	SRR25581090	200000	100.0	100	100	30.00	39.38	100	not_assembled
Illumina_modern	Oryza_sativa	DRR160520	200000	250.0	97	95	28.44	43.81	250	assembled
Illumina_modern	Sesamum_indicum	DRR806862	200000	150.0	98	94	27.94	36.69	150	assembled
Illumina_modern	Solanum_lycopersicum	DRR040154	200000	91.0	99	98	26.62	35.64	91	assembled
Illumina_modern	Vitis_vinifera	ERR15002908	200000	151.0	91	79	22.05	59.32	151	assembled
HiFi	Beta_vulgaris	SRR37382116	200000	17184.3	98	95	26.34	35.76	17153	easy45_ok
HiFi	Citrus_sinensis	SRR27236983	50000	19909.7	98	96	27.16	35.92	19712	easy45_ok
HiFi	Glycine_max	SRR38619744	50000	15442.0	98	95	26.03	34.60	15990	easy45_ok
HiFi	Gossypium_hirsutum	SRR38842326	95708	17358.9	99	98	29.00	34.70	17976	easy45_ok
HiFi	Helianthus_annuus	SRR14782853	50000	21685.4	100	100	30.00	38.80	21840	easy45_ok
HiFi	Musa_acuminata	SRR23425448	200000	13199.8	99	98	29.76	39.19	13017	easy45_ok
HiFi	Oryza_sativa	SRR13280199	50000	19128.3	100	100	40.00	43.04	20261	easy45_ok
HiFi	Sesamum_indicum	SRR21601246	50000	17069.3	98	96	27.27	37.19	16963	easy45_ok
HiFi	Solanum_lycopersicum	SRR15243717	50000	19066.8	98	96	26.76	35.20	19053	easy45_ok
HiFi	Vitis_vinifera	ERR17353932	200000	7153.2	98	96	26.17	34.66	8306	easy45_ok
